Activity Type Code
Field Msr/Obs
Field Msr/Obs-Habitat Assessment
Field Msr/Obs-Portable Data Logger
Quality Control Alternative Measurement Sensitivity
Quality Control Alternative Measurement Sensitivity Plus
Quality Control Field Calibration Check
Quality Control Field Replicate Habitat Assessment
Quality Control Field Replicate Msr/Obs
Quality Control Field Replicate Portable Data Logger
Quality Control Field Sample Equipment Rinsate Blank
Quality Control Sample-Blind Duplicate
Quality Control Sample-Equipment Blank
Quality Control Sample-Field Ambient Conditions Blank
Quality Control Sample-Field Blank
Quality Control Sample-Field Replicate
Quality Control Sample-Field Spike
Quality Control Sample-Field Surrogate Spike
Quality Control Sample-Inter-lab Split
Quality Control Sample-Lab Blank
Quality Control Sample-Lab Duplicate
Quality Control Sample-Lab Matrix Spike
Quality Control Sample-Lab Re-Analysis
Quality Control Sample-Lab Spike
Quality Control Sample-Lab Split
Quality Control Sample-Measurement Precision Sample
Quality Control Sample-Other
Quality Control Sample-Post-preservative Blank
Quality Control Sample-Pre-preservative Blank
Quality Control Sample-Reagent Blank
Quality Control Sample-Reference Sample
Quality Control Sample-Trip Blank
Quality Control-Negative Control
Sample-Composite With Parents
Sample-Composite Without Parents
Sample-Depletion Replicate
Sample-Field Subsample
Sample-Integrated Cross-Sectional Profile
Sample-Integrated Flow Proportioned
Sample-Integrated Horizontal Profile
Sample-Integrated Time Series
Sample-Integrated Vertical Profile
Sample-Negative Control
Sample-Positive Control
Sample-Routine
Sample-Other
Sample-Field Split
Quality Control Sample-Lab Control Sample/Blank Spike
Quality Control Sample-Lab Spike of a Lab Blank
Quality Control Sample-Lab Matrix Spike Duplicate
Quality Control Sample-Lab Control Sample/Blank Spike Duplicate
Quality Control Field Sample Equipment Rinsate Blank
Field Msr/Obs-Incidental
