Monitoring Location Horizontal Coordinate Reference System
AMSMA
ASTRO
GUAM
JHNSN
NAD27
NAD83
OLDHI
OTHER
PR
SGEOR
SLAWR
SPAUL
UNKWN
WAKE
WGS72
WGS84
HARN
