Sample Fraction
Acid Soluble
Bioavailable
Comb Available
Dissolved
Extractable
Filterable
Fixed
Free Available
Inorganic
Non-filterable
Non-settleable
Non-volatile
Organic
Pot. Dissolved
Settleable
Supernate
Suspended
Total
Total Recoverable
Total Residual
Vapor
Volatile
Weak Acid Diss
Non-Filterable (Particle)
Filterable
Pot. Dissolved
Free Available
Total Residual
Comb Available
Total Recoverable
Strong Acid Diss
Total Soluble
Bed Sediment
Bedload
